Episode,Episode _Num,Segment,Traffic ,Height ,Strategy ,Coverage (%),Recovery (%),Time (s),Energy (%),,,Episode,Strategy,Traffic,Height,Coverage(%),Recovery(%),Energy(%),Time(s)
Ep_9,18.0,Calle_1 (4),Low,High,Baseline,76.47,0.0,55.02,3.056666667,,,,,,,,,,
Ep_9,19.0,Calle_1 (5),Low,High,Baseline,74.07,0.0,54.42,3.023333333,,,,,,,,,,
Ep_9,20.0,Calle_1 (3),Low,High,Baseline,87.1,0.0,55.2,3.066666667,,,,,,,,,,
Ep_10,1.0,Calle_1 (5),Low,High,Hover,75.0,0.0,54.13,3.007222222,,,,,,,,,,
Ep_10,2.0,Calle_1 (6),Low,High,Hover,78.79,0.0,55.12,3.062222222,,,,,,,,,,
Ep_10,3.0,Calle_1 (6),Low,High,Hover,61.76,0.0,55.31,3.072777778,,,,,,,,,,
Ep_10,4.0,Calle_1 (2),Low,High,Hover,83.78,0.0,55.49,3.082777778,,,,,,,,,,
Ep_10,5.0,Calle_1 (3),Low,High,Hover,91.18,0.0,55.08,3.06,,,,,,,,,,
Ep_10,6.0,Calle_1 (4),Low,High,Hover,86.49,0.0,55.21,3.067222222,,,,,,,,,,
Ep_10,7.0,Calle_1 (5),Low,High,Hover,86.84,0.0,55.1,3.061111111,,,,,,,,,,
Ep_10,8.0,Calle_1 (3),Low,High,Hover,72.73,0.0,55.57,3.087222222,,,,,,,,,,
Ep_10,9.0,Calle_1 (4),Low,High,Hover,85.71,0.0,55.06,3.058888889,,,,,,,,,,
Ep_10,10.0,Calle_1 (3),Low,High,Hover,76.92,0.0,54.87,3.048333333,,,,,,,,,,
Ep_10,11.0,Calle_1 (1),Low,High,Hover,78.38,0.0,54.97,3.053888889,,,,,,,,,,
Ep_10,12.0,Calle_1,Low,High,Hover,80.0,0.0,55.06,3.058888889,,,,,,,,,,
Ep_10,13.0,Calle_1 (5),Low,High,Hover,80.0,0.0,54.93,3.051666667,,,,,,,,,,
Ep_10,14.0,Calle_1,Low,High,Hover,100.0,0.0,55.25,3.069444444,,,,,,,,,,
Ep_10,15.0,Calle_1 (6),Low,High,Hover,96.88,0.0,55.28,3.071111111,,,,,,,,,,
Ep_10,16.0,Calle_1 (6),Low,High,Hover,69.7,0.0,55.42,3.078888889,,,,,,,,,,
Ep_10,17.0,Calle_1 (2),Low,High,Hover,93.75,0.0,55.25,3.069444444,,,,,,,,,,
Ep_10,18.0,Calle_1 (3),Low,High,Hover,100.0,0.0,55.03,3.057222222,,,,,,,,,,
Ep_10,19.0,Calle_1 (1),Low,High,Hover,79.17,0.0,55.15,3.063888889,,,,,,,,,,
Ep_10,20.0,Calle_1 (5),Low,High,Hover,71.88,0.0,55.41,3.078333333,,,,,,,,,,
Ep_11,1.0,Calle_1 (3),Low,High,Micro,65.85,0.0,54.36,3.02,,,,,,,,,,
Ep_11,2.0,Calle_1 (1),Low,High,Micro,67.74,0.0,59.22,3.29,,,,,,,,,,
